Sex;ID;Age;CaptivityWild;Height;Chest Girth;Neck Circumference;Length;Weight;Foot size
1;BJ;107;a;188;284;NA;175;1485;94
1;BJ;108;a;188;284;NA;175;1494;94
1;BJ;115;a;188;287;NA;185;1514;94
1;BJ;112;a;191;274;NA;188;1464;94
1;BJ;113;a;191;282;NA;188;1478;99
1;BJ;111;a;191;282;NA;191;1362;97
1;BJ;114;a;191;287;NA;188;1463;97
1;BJ;118;a;191;290;NA;191;1587;97
1;BJ;117;a;196;292;NA;185;1577;94
1;BK;591;b;203;345;NA;221;2654;127
2;BL;62;a;168;254;NA;165;1026;89
2;BL;67;a;173;249;NA;168;1133;89
2;BL;65;a;173;254;NA;168;995;86
2;BL;64;a;173;254;NA;168;1064;91
2;BL;64;a;173;257;NA;168;1070;86
2;BL;72;a;175;262;NA;170;1124;91
2;BL;71;a;178;257;NA;173;1151;86
2;BL;71;a;178;257;NA;173;1135;89
2;BL;73;a;178;269;NA;180;1160;89
2;BL;80;a;180;262;NA;183;1242;99
2;BL;77;a;180;269;NA;178;1215;94
2;BL;79;a;180;274;NA;168;1208;91
2;BL;81;a;183;269;NA;241;1316;94
2;BL;78;a;183;272;NA;170;1252;99
2;BL;76;a;183;274;NA;175;1252;94
2;BL;85;a;183;274;NA;178;1328;94
2;BL;82;a;183;277;NA;183;1293;91
2;BL;87;a;185;264;NA;170;1332;94
2;BL;83;a;185;264;NA;185;1271;91
2;BL;85;a;185;267;NA;170;1326;94
2;BL;78;a;188;272;NA;175;1292;102
2;BM;72;a;127;254;158;NA;1175;NA
2;BM;73;a;137;254;160;NA;1194;90
2;BM;74;a;137;256;160;NA;1205;90
2;BM;69;a;174;244;162;170;1113;64
2;BM;67;a;174;244;162;170;1143;64
2;BM;68;a;174;244;162;170;1146;64
2;BM;71;a;174;252;166;NA;1171;NA
2;BM;82;a;180;260;170;NA;1313;90
2;BM;82;a;180;260;170;NA;1348;93
2;BM;80;a;181;269;181;NA;1290;95
2;BM;77;a;210;263;180;NA;1279;93
1;BN;593;a;229;348;NA;231;2669;124
1;BO;97;a;178;264;NA;170;1312;91
1;BO;98;a;180;279;NA;170;1428;91
1;BO;102;a;183;264;NA;173;1446;91
1;BO;100;a;183;269;NA;180;1420;91
1;BO;100;a;183;272;NA;170;1372;91
1;BO;107;a;183;290;NA;191;1440;91
1;BO;109;a;185;201;NA;191;1580;94
1;BO;113;a;185;272;NA;178;1448;97
1;BO;116;a;185;274;NA;180;1432;99
1;BO;106;a;185;274;NA;183;1378;89
1;BO;121;a;185;284;NA;191;1582;97
1;BO;107;a;185;295;NA;193;1425;97
1;BO;114;a;188;274;NA;183;1385;94
1;BO;115;a;188;274;NA;191;1418;99
1;BO;118;a;188;284;NA;178;1523;99
1;BO;117;a;191;279;NA;175;1482;99
1;BO;120;a;191;279;NA;193;1462;99
1;BO;122;a;191;282;NA;188;1528;97
1;BO;111;a;191;284;NA;185;1532;91
1;BO;119;a;191;287;NA;191;1417;99
1;BO;112;a;193;287;NA;185;1384;97
2;BP;259;a;217;295;NA;NA;2205;NA
1;BQ;242;a;196;292;NA;203;1652;102
2;BR;48;a;165;249;NA;178;1198;89
2;BR;49;a;170;244;NA;165;1011;86
2;BR;51;a;173;236;NA;175;918;84
2;BR;52;a;173;244;NA;160;1002;86
2;BR;50;a;173;246;NA;155;931;84
